Name,Subject,Score,Grade
Alice,Math,98,A
Bob,Math,72,C
Charlie,Math,85,B
Diana,Math,91,A
Ethan,Math,60,D
Fiona,Math,78,C
George,Math,55,D
Hannah,Math,88,B
Ivan,Math,44,F
Julia,Math,95,A
Kevin,Math,67,D
Laura,Math,82,B
Alice,Science,74,C
Bob,Science,68,D
Charlie,Science,90,A
Diana,Science,55,D
Ethan,Science,79,C
Fiona,Science,88,B
George,Science,42,F
Hannah,Science,71,C
Ivan,Science,83,B
Julia,Science,66,D
Kevin,Science,92,A
Laura,Science,58,D
Alice,English,80,B
Bob,English,76,C
Charlie,English,65,D
Diana,English,89,B
Ethan,English,73,C
Fiona,English,94,A
George,English,61,D
Hannah,English,70,C
Ivan,English,85,B
Julia,English,77,C
Kevin,English,52,D
Laura,English,91,A
Mike,Math,63,D
Nina,Math,87,B
Oscar,Science,75,C
Priya,English,96,A
